site_id,ano_overlap,classe_id,classe_nome,area_landsat_2018_ha,area_landsat_ano_ha,area_s2_ano_ha,degrau_publicado_ha,degrau_publicado_pp,controle_real_landsat_ha,artefato_sensor_ha,razao_artefato_sobre_controle,veredito
everest-goiania,2021,1,vegetacao_densa,847.71,720.45,609.04,-238.67,-2.3774,-127.26,-111.41,0.875,NAO_DISTINGUIVEL
everest-goiania,2021,2,vegetacao_rala,1891.98,1752.75,1782.24,-109.74,-1.0935,-139.23,29.49,0.212,DISTINGUIVEL
everest-goiania,2021,3,solo_exposto_obras,92.43,119.7,2027.33,1934.9,19.2718,27.27,1907.63,69.953,NAO_DISTINGUIVEL
everest-goiania,2021,4,construida_urbana,7167.78,7412.22,5512.02,-1655.76,-16.4935,244.44,-1900.2,7.774,NAO_DISTINGUIVEL
everest-goiania,2021,5,agua,39.87,34.92,109.41,69.54,0.6926,-4.95,74.49,15.048,NAO_DISTINGUIVEL
hostdime-joao-pessoa,2019,1,vegetacao_densa,1895.31,1553.76,1884.32,-10.99,-0.1132,-341.55,330.56,0.968,NAO_DISTINGUIVEL
hostdime-joao-pessoa,2019,2,vegetacao_rala,2013.93,2202.75,1406.11,-607.82,-6.0579,188.82,-796.64,4.219,NAO_DISTINGUIVEL
hostdime-joao-pessoa,2019,3,solo_exposto_obras,111.51,99.45,903.78,792.27,7.8909,-12.06,804.33,66.694,NAO_DISTINGUIVEL
hostdime-joao-pessoa,2019,4,construida_urbana,4163.58,3888.63,3859.56,-304.02,-3.0363,-274.95,-29.07,0.106,DISTINGUIVEL
hostdime-joao-pessoa,2019,5,agua,1853.73,1763.01,1986.27,132.54,1.3165,-90.72,223.26,2.461,NAO_DISTINGUIVEL
hostdime-joao-pessoa,2020,1,vegetacao_densa,1895.31,1594.17,1947.33,52.02,0.5144,-301.14,353.16,1.173,NAO_DISTINGUIVEL
hostdime-joao-pessoa,2020,2,vegetacao_rala,2013.93,2246.67,1370.23,-643.7,-6.4153,232.74,-876.44,3.766,NAO_DISTINGUIVEL
hostdime-joao-pessoa,2020,3,solo_exposto_obras,111.51,119.43,823.32,711.81,7.0895,7.92,703.89,88.875,NAO_DISTINGUIVEL
hostdime-joao-pessoa,2020,4,construida_urbana,4163.58,3899.43,3887.69,-275.89,-2.7561,-264.15,-11.74,0.044,DISTINGUIVEL
hostdime-joao-pessoa,2020,5,agua,1853.73,1815.93,2011.47,157.74,1.5675,-37.8,195.54,5.173,NAO_DISTINGUIVEL
hostdime-joao-pessoa,2021,1,vegetacao_densa,1895.31,1620.81,1895.27,-0.04,-0.0041,-274.5,274.46,1.0,NAO_DISTINGUIVEL
hostdime-joao-pessoa,2021,2,vegetacao_rala,2013.93,1929.96,1398.47,-615.46,-6.134,-83.97,-531.49,6.33,NAO_DISTINGUIVEL
hostdime-joao-pessoa,2021,3,solo_exposto_obras,111.51,80.28,854.81,743.3,7.4031,-31.23,774.53,24.801,NAO_DISTINGUIVEL
hostdime-joao-pessoa,2021,4,construida_urbana,4163.58,3793.86,3898.77,-264.81,-2.6457,-369.72,104.91,0.284,DISTINGUIVEL
