id_municipio,nome_municipio,sigla_uf,regiao,populacao,pib_per_capita,pct_va_servicos,pct_va_industria,pct_va_agropecuaria,pct_impostos,id_municipio_similar_1,municipio_similar_1,percentual_similaridade_1,id_municipio_similar_2,municipio_similar_2,percentual_similaridade_2,id_municipio_similar_3,municipio_similar_3,percentual_similaridade_3
3518305,Guararema,SP,Sudeste,29582.0,46537.93333333333,0.5201666666666667,0.20641666666666666,0.028499999999999998,0.14859999999999998,3539301,Pirassununga (SP),83.11,3556453,Vargem Grande Paulista (SP),80.89,3530805,Mogi Mirim (SP),77.16
3518404,Guaratinguetá,SP,Sudeste,121456.33333333333,50031.083333333336,0.42368333333333336,0.3290666666666667,0.005633333333333333,0.16293333333333335,3507001,Boituva (SP),80.97,3543907,Rio Claro (SP),79.58,3508504,Caçapava (SP),78.42
3518503,Guareí,SP,Sudeste,18259.666666666668,13566.705,0.28065,0.16203333333333333,0.2248,0.05505000000000001,3205150,Vila Pavão (ES),83.98,3167400,Silvianópolis (MG),83.0,3508306,Cabrália Paulista (SP),82.65
3518602,Guariba,SP,Sudeste,39873.333333333336,24763.39,0.47735,0.21824999999999997,0.05858333333333333,0.08266666666666667,3519600,Ibitinga (SP),91.58,3527405,Lucélia (SP),85.6,3144706,Nova Era (MG),82.47
3518701,Guarujá,SP,Sudeste,319212.8333333333,27814.736666666668,0.5669333333333334,0.13071666666666668,0.004433333333333333,0.12756666666666666,3127701,Governador Valadares (MG),73.75,3522208,Itapecerica da Serra (SP),72.2,3143302,Montes Claros (MG),69.83
3518800,Guarulhos,SP,Sudeste,1371349.3333333333,45923.49833333333,0.5470833333333333,0.1955,0.0006833333333333332,0.16981666666666664,3509502,Campinas (SP),68.12,3548708,São Bernardo do Campo (SP),45.0,3301702,Duque de Caxias (RJ),43.01
3518859,Guatapará,SP,Sudeste,7628.166666666667,30001.41333333333,0.2856666666666667,0.05515,0.4111833333333333,0.06269999999999999,3109303,Buritis (MG),87.62,3153400,Presidente Olegário (MG),86.12,3126208,Formoso (MG),82.16
3518909,Guzolândia,SP,Sudeste,5244.5,13948.028333333334,0.32939999999999997,0.061266666666666664,0.23601666666666665,0.0317,3529104,Marinópolis (SP),91.59,3551405,Serra Azul (SP),91.56,3543501,Riversul (SP),91.55
3519006,Herculândia,SP,Sudeste,9493.333333333334,33054.67166666667,0.32305,0.23903333333333332,0.23986666666666667,0.073,3502705,Apiaí (SP),88.31,3539608,Planalto (SP),83.48,3530201,Mirante do Paranapanema (SP),81.6
3519055,Holambra,SP,Sudeste,14682.666666666666,74090.68833333334,0.36769999999999997,0.14855,0.32525,0.08885,3521903,Itajobi (SP),53.32,3152808,Prata (MG),52.72,3553856,Taquarivaí (SP),52.08
3519071,Hortolândia,SP,Sudeste,228543.0,62702.456666666665,0.45325,0.29841666666666666,0.0001,0.1810166666666667,3524402,Jacareí (SP),78.56,3554102,Taubaté (SP),73.48,3520509,Indaiatuba (SP),72.86
3519105,Iacanga,SP,Sudeste,11613.0,45078.685,0.5226000000000001,0.09448333333333332,0.15875,0.11948333333333333,3119807,Córrego Danta (MG),76.92,3535309,Palmital (SP),75.62,3519907,Iepê (SP),72.14
3519204,Iacri,SP,Sudeste,6354.0,34061.96833333333,0.3355333333333333,0.07625,0.3936,0.06426666666666667,3119302,Coromandel (MG),90.22,3103900,Araújos (MG),86.06,3515608,Fernando Prestes (SP),84.79
