site_id,tier,regiao,bioma,sensor,ano,n_imagens_usadas,pct_pixels_validos,tamanho_mb,status
hostdime-joao-pessoa,2,Nordeste,Mata Atlântica,landsat,2014,4,95.0787,0.924,ok
hostdime-joao-pessoa,2,Nordeste,Mata Atlântica,landsat,2015,6,93.3191,0.921,ok
hostdime-joao-pessoa,2,Nordeste,Mata Atlântica,landsat,2016,8,94.6583,0.936,ok
hostdime-joao-pessoa,2,Nordeste,Mata Atlântica,landsat,2017,8,93.3845,0.916,ok
hostdime-joao-pessoa,2,Nordeste,Mata Atlântica,landsat,2018,8,99.9812,0.974,ok
hostdime-joao-pessoa,2,Nordeste,Mata Atlântica,landsat,2019,10,94.7157,0.939,ok
hostdime-joao-pessoa,2,Nordeste,Mata Atlântica,landsat,2020,11,96.3946,0.955,ok
hostdime-joao-pessoa,2,Nordeste,Mata Atlântica,landsat,2021,6,91.4348,0.907,ok
hostdime-joao-pessoa,2,Nordeste,Mata Atlântica,sentinel2,2019,16,100.0,6.885,ok
hostdime-joao-pessoa,2,Nordeste,Mata Atlântica,sentinel2,2020,25,100.0,6.835,ok
hostdime-joao-pessoa,2,Nordeste,Mata Atlântica,sentinel2,2021,25,100.0,6.962,ok
hostdime-joao-pessoa,2,Nordeste,Mata Atlântica,sentinel2,2022,26,100.0,6.9,ok
hostdime-joao-pessoa,2,Nordeste,Mata Atlântica,sentinel2,2023,26,100.0,6.947,ok
hostdime-joao-pessoa,2,Nordeste,Mata Atlântica,sentinel2,2024,24,100.0,6.916,ok
hostdime-joao-pessoa,2,Nordeste,Mata Atlântica,sentinel2,2025,36,100.0,7.035,ok
