par,horizonte,variavel,efeito_liquido
ascenty-sumare,3,prop_vegetacao_rala,0.011334999999999984
ascenty-sumare,3,prop_solo_exposto_obras,-0.0005760000000000001
ascenty-sumare,3,prop_construida_urbana,-0.0038200000000000456
ascenty-sumare,3,prop_agua,-0.0016530000000000008
ascenty-sumare,3,lst_media_celsius,-0.08840000000000003
ascenty-sumare,3,populacao,-4167.0
ascenty-sumare,3,emprego_formal_total,-3609.0
ascenty-sumare,3,pib_mil_reais,-4643309.0
ascenty-sumare,3,numero_empresas,-1571.0
ascenty-vinhedo,-3,prop_vegetacao_densa,0.025658000000000014
ascenty-vinhedo,-3,prop_vegetacao_rala,-0.016986999999999863
ascenty-vinhedo,-3,prop_solo_exposto_obras,0.00035599999999999955
